公車代碼,站點名稱
0100002100,內湖國小
0100002100,達人高中(臺灣戲曲學院)
0100002100,內湖派出所
0100002100,成功路三段
0100002100,內湖高中
0100002100,捷運文德站(碧湖公園)
0100002100,湖光國宅
0100002100,西湖圖書館(湖光教會)
0100002100,港墘派出所
0100002100,瑞光港墘路口
0100002100,仁寶大樓
0100002100,基湖路口
0100002100,基湖站
0100002100,堤頂大道口
0100002100,明水路三
0100002100,大直抽水站
0100002100,北安國中
0100002100,忠烈祠
0100002100,中央電台
0100002100,圓山大飯店
0100002100,臺北市立美術館
0100002100,花博公園
0100002100,捷運圓山站
0100002200,吳興街站
0100002200,松仁路
0100002200,吳興國小(松仁)
0100002200,信義國中(莊敬)
0100002200,臺北醫學大學
0100002200,景新里
0100002200,世貿中心(莊敬)
0100002200,信義光復路口
0100002200,信義通化街口
0100002200,捷運信義安和站(信義)
0100002200,信義敦化路口
0100002200,信義大安路口
0100002200,捷運大安站(信義)
0100002200,師大附中
0100002200,信義建國路口
0100002200,捷運大安森林公園站
0100002200,信義新生路口
0100002200,信義永康街口
0100002200,捷運東門站
0100002200,信義杭州路口
0100002200,中正紀念堂
0100002200,臺大醫院
0100002200,臺北車站(忠孝)
0100002200,臺北車站(重慶)
0100002200,重慶南路一段
0100002200,二二八和平公園
0100002200,博愛路
0100002200,臺北郵局
0100002200,臺北車站(忠孝)
0100002200,捷運善導寺站
0100002200,開南中學
0100002200,仁愛林森路口
0100002200,信義杭州路口
0100002200,捷運東門站
0100002200,信義永康街口(捷運東門站)
0100002200,信義新生路口
0100002200,捷運大安森林公園站
0100002200,信義建國路口
0100002200,捷運大安站(信義)
0100002200,信義大安路口
0100002200,信義敦化路口
0100002200,捷運信義安和站(信義)
0100002200,信義通化街口
0100002200,信義光復路口
0100002200,世貿中心(莊敬)
0100002200,景新里
0100002200,臺北醫學大學
0100002200,信義國中(莊敬)
0100002200,吳興國小(莊敬)
0100002200,松仁路
0100002200,吳興街站
0100002600,社子國小二
0100002600,社子國小
0100002600,永倫里(南)
0100002600,社子派出所
0100002600,社子市場二
0100002600,社子市場
0100002600,福港街
0100002600,承德路四段
0100002600,大南路口
0100002600,圓山皇宮大廈
0100002600,劍潭國小
0100002600,明倫高中
0100002600,庫倫街口
0100002600,民族承德路口
0100002600,大同國小
0100002600,民權中山路口
0100002600,捷運中山國小站
0100002600,民權吉林路口
0100002600,捷運行天宮站(松江路)
0100002600,長春松江路口
0100002600,南京吉林路口
0100002600,南京林森路口
0100002600,捷運中山站(志仁高中)
0100002600,建成公園
0100002600,民生西路口
0100002600,成淵高中
0100002600,防癆協會
0100002600,大同國小
0100002600,民族承德路口
0100002600,庫倫街口
0100002600,明倫高中
0100002600,劍潭國小
0100002600,圓山皇宮大廈
0100002600,大南路口
0100002600,士商路
0100002600,陽明高中
0100002600,社子市場
0100002600,社園里
0100002600,社子派出所
0100002600,永倫里(南)
0100002600,社子國小
0100002600,永倫里(延平)
0100002800,明水路一
0100002800,明水路二
0100002800,明水路三
0100002800,大直抽水站
0100002800,永安里
0100002800,捷運大直站
0100002800,植福宮
0100002800,自強隧道(大直教會)
0100002800,自強隧道
0100002800,捷運劍南路站
0100002800,美麗華
0100002800,文湖國小
0100002800,治磐新村
0100002800,捷運西湖站
0100002800,恕德家商
0100002800,麗山街
0100002800,捷運港墘站(內湖高工)
0100002800,西湖圖書館(湖光教會)
0100002800,內湖國小
0100002800,達人高中(臺灣戲曲學院)
0100002800,內湖派出所
0100002800,成功路三段
0100002800,方濟中學
0100002800,將軍嶺
0100002800,三總內湖站
0100002800,國防醫學中心
0100002800,湖興
0100002800,上灣仔
0100002800,石潭公園(成功)
0100002800,南港分局(向陽)
0100002800,玉成國小
0100002800,西新里(新新公園)
0100002800,南港路三段
0100002800,松山磚廠
0100002800,玉成里
0100002800,松山車站(八德)
0100002800,松山農會
0100002800,饒河街觀光夜市(八德)
0100002800,基隆路口二
0100002800,松山高中(基隆路)
0100002800,市政府(松高)
0100002800,市政府(松智)
0100002800,101國際購物中心
0100002800,捷運台北101/世貿站(信義)
0100002800,捷運台北101/世貿站(市府)
0100002800,市政府(市府)
0100002800,松山高中(基隆路)
0100002800,基隆路口
0100002800,饒河街觀光夜市(八德)
0100002800,松山農會
0100002800,松山車站(八德)
0100002800,玉成里
0100002800,松山磚廠
0100002800,南港路三段
0100002800,西新里(新新公園)
0100002800,玉成國小
0100002800,南港分局(向陽)
0100002800,石潭公園(成功)
0100002800,上灣仔
0100002800,湖興
0100002800,國防醫學中心
0100002800,三總內湖站
0100002800,將軍嶺
0100002800,方濟中學
0100002800,成功路三段
0100002800,內湖派出所
0100002800,達人高中(臺灣戲曲學院)
0100002800,內湖國小
0100002800,西湖圖書館(湖光教會)
0100002800,捷運港墘站(內湖高工)
0100002800,麗山國中
0100002800,麗山街
0100002800,恕德家商
0100002800,捷運西湖站
0100002800,治磐新村
0100002800,文湖國小
0100002800,美麗華
0100002800,捷運劍南路站
0100002800,明水路一
0100002800,明水路二
0100002800,明水路三
0100002800,大直抽水站
0100002800,永安里
0100002800,捷運大直站
0100002800,植福宮
0100002800,自強隧道(大直教會)
0100003200,吳興街站
0100003200,松仁路
0100003200,吳興國小(松仁)
0100003200,信義國中(松仁)
0100003200,松平路口
0100003200,信義松仁路口(松仁)
0100003200,興雅國中
0100003200,消防局(松仁)
0100003200,市立工農
0100003200,捷運永春站(忠孝)
0100003200,捷運永春站(松山)
0100003200,雙永國小
0100003200,永吉松山路口
0100003200,松山車站(松山)
0100003200,松山車站
0100003200,五分埔商圈(中坡北)
0100003200,捷運後山埤站(永吉)
0100003200,捷運後山埤站(玉成)
0100003200,聯合醫院忠孝院區(同德)
0100003200,修德國小
0100003200,南港公園
0100003200,南港公園一
0100003200,南港花園社區四
0100003200,南港花園社區三
0100003200,南港花園社區二
0100003200,南港花園社區一
0100003200,南港花園社區五
0100003200,南港公園一
0100003200,南港公園
0100003200,修德國小
0100003200,聯合醫院忠孝院區(同德)
0100003200,捷運後山埤站(玉成)
0100003200,捷運後山埤站(永吉)
0100003200,五分埔商圈(中坡北)
0100003200,松山車站(松隆)
0100003200,松山車站(松山)
0100003200,永吉松山路口
0100003200,捷運永春站(松山)
0100003200,捷運永春站(忠孝)
0100003200,市立工農
0100003200,消防局(松仁)
0100003200,興雅國中
0100003200,信義松仁路口(松仁)
0100003200,松平路口
0100003200,信義國中(松仁)
0100003200,吳興國小(松仁)
0100003200,松仁路
0100003200,吳興街站
0100003300,永春高中
0100003300,松山商職(松山)
0100003300,永春公寓
0100003300,永春里(忠孝)
0100003300,春光公園
0100003300,忠孝大道路口
0100003300,大道路
0100003300,信義行政中心(奉天宮)
0100003300,松友新村
0100003300,松山商職(福德)
0100003300,國業里
0100003300,國稅局宿舍
0100003300,松平路口
0100003300,信義國中(松仁)
0100003300,吳興國小(莊敬)
0100003300,信義國中(莊敬)
0100003300,臺北醫學大學
0100003300,景新里
0100003300,世貿中心(莊敬)
0100003300,信義光復路口
0100003300,信義通化街口
0100003300,捷運信義安和站(信義)
0100003300,信義敦化路口
0100003300,仁愛國中
0100003300,安和敦化路口
0100003300,捷運忠孝敦化站
0100003300,市民大道口
0100003300,市立體育場
0100003300,臺北小巨蛋
0100003300,長庚醫院
0100003300,富錦街口
0100003300,民權敦化路口
0100003300,五常街口
0100003300,大直國小
0100003300,捷運大直站
0100003300,植福宮
0100003300,自強隧道(大直教會)
